iter	Passed	Remaining
218	4901	6288
219	4924	6267
220	4947	6245
221	4970	6223
222	4992	6201
223	5014	6178
224	5037	6156
225	5062	6137
226	5092	6124
227	5120	6108
228	5147	6091
229	5170	6069
230	5193	6048
231	5218	6027
232	5240	6005
233	5263	5983
234	5286	5961
235	5308	5937
236	5330	5915
237	5352	5892
238	5375	5869
239	5397	5847
240	5419	5824
241	5441	5801
242	5463	5778
243	5485	5755
244	5509	5734
245	5533	5713
246	5557	5692
247	5579	5669
248	5601	5646
249	5624	5624
250	5646	5601
251	5668	5578
252	5692	5557
253	5717	5537
254	5744	5518
255	5767	5497
256	5790	5475
257	5815	5454
258	5839	5433
259	5862	5411
260	5885	5389
261	5908	5366
262	5930	5343
263	5952	5321
264	5976	5299
265	5998	5276
266	6020	5253
267	6042	5230
268	6064	5208
269	6087	5185
270	6109	5162
271	6132	5140
272	6156	5119
273	6179	5097
274	6204	5076
275	6228	5054
276	6249	5031
277	6271	5008
278	6294	4985
279	6317	4963
280	6341	4942
281	6363	4919
282	6386	4897
283	6409	4875
284	6433	4853
285	6455	4830
286	6478	4808
287	6503	4786
288	6526	4765
289	6549	4742
290	6573	4721
291	6597	4699
292	6620	4676
293	6642	4654
294	6665	4632
295	6687	4608
296	6710	4586
297	6735	4565
298	6759	4544
299	6783	4522
300	6806	4500
301	6829	4477
302	6852	4455
303	6877	4433
304	6901	4412
305	6924	4389
306	6947	4367
307	6971	4345
308	6993	4322
309	7016	4300
310	7040	4278
311	7062	4255
312	7085	4233
313	7107	4210
314	7129	4187
315	7151	4164
316	7173	4141
317	7196	4118
318	7224	4099
319	7247	4076
320	7268	4053
321	7290	4030
322	7312	4007
323	7335	3984
324	7359	3962
325	7382	3940
326	7404	3917
327	7428	3895
328	7450	3872
329	7474	3850
330	7498	3828
331	7520	3805
332	7542	3782
333	7564	3759
334	7585	3736
335	7609	3714
336	7633	3692
337	7656	3669
338	7678	3646
339	7703	3624
340	7728	3603
341	7753	3582
342	7777	3559
343	7799	3536
344	7821	3513
345	7843	3490
346	7867	3469
347	7890	3446
348	7912	3423
349	7934	3400
350	7956	3377
351	7979	3355
352	8002	3332
353	8024	3309
354	8045	3286
355	8067	3263
356	8089	3240
357	8114	3218
358	8140	3197
359	8166	3175
360	8193	3154
361	8224	3135
362	8250	3113
363	8275	3091
364	8298	3069
365	8321	3046
366	8344	3024
367	8368	3001
368	8392	2979
369	8414	2956
370	8436	2933
371	8458	2910
372	8482	2888
373	8506	2865
374	8529	2843
375	8551	2820
376	8574	2797
377	8596	2774
378	8619	2751
379	8642	2729
380	8666	2706
381	8690	2684
382	8713	2661
383	8740	2640
384	8763	2617
385	8785	2594
386	8807	2571
387	8830	2549
388	8854	2526
389	8878	2504
390	8902	2481
391	8926	2459
392	8948	2436
393	8970	2413
394	8992	2390
395	9014	2367
396	9038	2345
397	9061	2322
398	9084	2299
399	9108	2277
400	9135	2255
401	9157	2232
402	9179	2209
